voltage[V],current[A]
+0.000000E+00,+8.035864E-10
+0.000000E+00,+7.939136E-10
+0.000000E+00,+1.166364E-09
+0.000000E+00,+1.242279E-09
+0.000000E+00,+1.353229E-09
+0.000000E+00,+9.528497E-10
+0.000000E+00,+1.378091E-09
+0.000000E+00,+1.107296E-09
+0.000000E+00,+9.879638E-10
+0.000000E+00,+1.212395E-09
-1.000000E+01,-6.418027E-10
-1.000000E+01,-6.563313E-10
-1.000000E+01,-6.365706E-10
-1.000000E+01,-5.851399E-10
-1.000000E+01,-5.412210E-10
-1.000000E+01,-4.940643E-10
-1.000000E+01,-5.587376E-10
-1.000000E+01,-5.970535E-10
-1.000000E+01,-5.135333E-10
-1.000000E+01,-6.142807E-10
-2.000000E+01,-8.156923E-10
-2.000000E+01,-7.129096E-10
-2.000000E+01,-7.490656E-10
-2.000000E+01,-6.466164E-10
-2.000000E+01,-6.878782E-10
-2.000000E+01,-6.885439E-10
-2.000000E+01,-7.246998E-10
-2.000000E+01,-7.604825E-10
-2.000000E+01,-7.855952E-10
-2.000000E+01,-7.343720E-10
-3.000000E+01,-9.253648E-10
-3.000000E+01,-9.127024E-10
-3.000000E+01,-8.929440E-10
-3.000000E+01,-8.745963E-10
-3.000000E+01,-9.027810E-10
-3.000000E+01,-9.183907E-10
-3.000000E+01,-9.366955E-10
-3.000000E+01,-9.465355E-10
-3.000000E+01,-9.449167E-10
-3.000000E+01,-9.609821E-10
-4.000000E+01,-1.030845E-09
-4.000000E+01,-9.371104E-10
-4.000000E+01,-9.154841E-10
-4.000000E+01,-9.072243E-10
-4.000000E+01,-9.829383E-10
-4.000000E+01,-9.402253E-10
-4.000000E+01,-9.186822E-10
-4.000000E+01,-9.411386E-10
-4.000000E+01,-9.354945E-10
-4.000000E+01,-9.499803E-10
-5.000000E+01,-1.159694E-09
-5.000000E+01,-1.069033E-09
-5.000000E+01,-9.925710E-10
-5.000000E+01,-1.098673E-09
-5.000000E+01,-1.094315E-09
-5.000000E+01,-1.090704E-09
-5.000000E+01,-1.116770E-09
-5.000000E+01,-1.115610E-09
-5.000000E+01,-1.115235E-09
-5.000000E+01,-1.117807E-09
-6.000000E+01,-1.171525E-09
-6.000000E+01,-1.143670E-09
-6.000000E+01,-1.303572E-09
-6.000000E+01,-1.185348E-09
-6.000000E+01,-1.147533E-09
-6.000000E+01,-1.287341E-09
-6.000000E+01,-1.260153E-09
-6.000000E+01,-1.130884E-09
-6.000000E+01,-1.203364E-09
