voltage[V],current[A]
-6.000000E+01,-1.126112E-09
-7.000000E+01,-1.384768E-09
-7.000000E+01,-1.264967E-09
-7.000000E+01,-1.383315E-09
-7.000000E+01,-1.362227E-09
-7.000000E+01,-1.327813E-09
-7.000000E+01,-1.317395E-09
-7.000000E+01,-1.392777E-09
-7.000000E+01,-1.379662E-09
-7.000000E+01,-1.333875E-09
-7.000000E+01,-1.290122E-09
-8.000000E+01,-1.530265E-09
-8.000000E+01,-1.511875E-09
-8.000000E+01,-1.459738E-09
-8.000000E+01,-1.408430E-09
-8.000000E+01,-1.492904E-09
-8.000000E+01,-1.489542E-09
-8.000000E+01,-1.523123E-09
-8.000000E+01,-1.472398E-09
-8.000000E+01,-1.490539E-09
-8.000000E+01,-1.521671E-09
-9.000000E+01,-1.601081E-09
-9.000000E+01,-1.626985E-09
-9.000000E+01,-1.528604E-09
-9.000000E+01,-1.605939E-09
-9.000000E+01,-1.715320E-09
-9.000000E+01,-1.672733E-09
-9.000000E+01,-1.550189E-09
-9.000000E+01,-1.549401E-09
-9.000000E+01,-1.691618E-09
-9.000000E+01,-1.585599E-09
-1.000000E+02,-1.791535E-09
-1.000000E+02,-1.806230E-09
-1.000000E+02,-1.645416E-09
-1.000000E+02,-1.808016E-09
-1.000000E+02,-1.775552E-09
-1.000000E+02,-1.651477E-09
-1.000000E+02,-1.840684E-09
-1.000000E+02,-1.750356E-09
-1.000000E+02,-1.631760E-09
-1.000000E+02,-1.698550E-09
-1.100000E+02,-1.835080E-09
-1.100000E+02,-1.880744E-09
-1.100000E+02,-1.935744E-09
-1.100000E+02,-1.879122E-09
-1.100000E+02,-1.889002E-09
-1.100000E+02,-1.856456E-09
-1.100000E+02,-1.852762E-09
-1.100000E+02,-1.878501E-09
-1.100000E+02,-1.855463E-09
-1.100000E+02,-1.866547E-09
-1.200000E+02,-1.946163E-09
-1.200000E+02,-2.049485E-09
-1.200000E+02,-2.003116E-09
-1.200000E+02,-1.882072E-09
-1.200000E+02,-1.874018E-09
-1.200000E+02,-1.948571E-09
-1.200000E+02,-2.050191E-09
-1.200000E+02,-1.935869E-09
-1.200000E+02,-1.975139E-09
-1.200000E+02,-1.965301E-09
-1.300000E+02,-2.159818E-09
-1.300000E+02,-2.143424E-09
-1.300000E+02,-1.978625E-09
-1.300000E+02,-1.932007E-09
-1.300000E+02,-2.088212E-09
-1.300000E+02,-1.967998E-09
-1.300000E+02,-2.077337E-09
-1.300000E+02,-2.099380E-09
-1.300000E+02,-2.070075E-09
-1.300000E+02,-2.059654E-09
-1.400000E+02,-2.146163E-09
-1.400000E+02,-2.256998E-09
-1.400000E+02,-2.050647E-09
-1.400000E+02,-2.170365E-09
-1.400000E+02,-2.215239E-09
-1.400000E+02,-2.158660E-09
-1.400000E+02,-2.205773E-09
-1.400000E+02,-2.121550E-09
-1.400000E+02,-2.109798E-09
-1.400000E+02,-2.207350E-09
-1.500000E+02,-2.234170E-09
-1.500000E+02,-2.190992E-09
-1.500000E+02,-2.268747E-09
-1.500000E+02,-2.230392E-09
-1.500000E+02,-2.209634E-09
-1.500000E+02,-2.268125E-09
-1.500000E+02,-2.248614E-09
-1.500000E+02,-2.254550E-09
-1.500000E+02,-2.267247E-09
-1.500000E+02,-2.156164E-09
-1.600000E+02,-2.287883E-09
-1.600000E+02,-2.296392E-09
-1.600000E+02,-2.331220E-09
-1.600000E+02,-2.377837E-09
-1.600000E+02,-2.395272E-09
-1.600000E+02,-2.371487E-09
-1.600000E+02,-2.121465E-09
-1.600000E+02,-2.335413E-09
-1.600000E+02,-2.389628E-09
-1.600000E+02,-2.236158E-09
-1.700000E+02,-2.393196E-09
-1.700000E+02,-2.427361E-09
-1.700000E+02,-2.490456E-09
-1.700000E+02,-2.723126E-09
-1.700000E+02,-2.510796E-09
-1.700000E+02,-2.436823E-09
-1.700000E+02,-2.350563E-09
-1.700000E+02,-2.310633E-09
-1.700000E+02,-2.323499E-09
-1.700000E+02,-2.356414E-09
-1.800000E+02,-2.515197E-09
-1.800000E+02,-2.555502E-09
-1.800000E+02,-2.555336E-09
-1.800000E+02,-2.472398E-09
-1.800000E+02,-2.635621E-09
-1.800000E+02,-2.461896E-09
-1.800000E+02,-2.482736E-09
-1.800000E+02,-2.580080E-09
-1.800000E+02,-2.502037E-09
-1.800000E+02,-2.526364E-09
-1.900000E+02,-2.593154E-09
-1.900000E+02,-2.639936E-09
-1.900000E+02,-2.479040E-09
-1.900000E+02,-2.677546E-09
-1.900000E+02,-2.648280E-09
-1.900000E+02,-2.556167E-09
-1.900000E+02,-2.612788E-09
-1.900000E+02,-2.655836E-09
-1.900000E+02,-2.590163E-09
-1.900000E+02,-2.592863E-09
-2.000000E+02,-2.658617E-09
-2.000000E+02,-2.617147E-09
-2.000000E+02,-2.648487E-09
-2.000000E+02,-2.710628E-09
-2.000000E+02,-2.645997E-09
-2.000000E+02,-2.615195E-09
-2.000000E+02,-2.492405E-09
-2.000000E+02,-2.593692E-09
-2.000000E+02,-2.570613E-09
-2.000000E+02,-2.612625E-09
-2.100000E+02,-2.737862E-09
-2.100000E+02,-2.703612E-09
-2.100000E+02,-2.852888E-09
-2.100000E+02,-2.840851E-09
-2.100000E+02,-2.736616E-09
-2.100000E+02,-2.774807E-09
-2.100000E+02,-2.840390E-09
-2.100000E+02,-2.776092E-09
-2.100000E+02,-2.696059E-09
-2.100000E+02,-2.677296E-09
-2.200000E+02,-2.943921E-09
-2.200000E+02,-2.924411E-09
-2.200000E+02,-2.840931E-09
-2.200000E+02,-2.806561E-09
-2.200000E+02,-2.822999E-09
-2.200000E+02,-2.816397E-09
-2.200000E+02,-2.977836E-09
-2.200000E+02,-2.761355E-09
-2.200000E+02,-2.934955E-09
-2.200000E+02,-2.822293E-09
-2.300000E+02,-2.956206E-09
-2.300000E+02,-2.958531E-09
-2.300000E+02,-2.872147E-09
-2.300000E+02,-2.925446E-09
-2.300000E+02,-3.027814E-09
-2.300000E+02,-2.908840E-09
-2.300000E+02,-2.863181E-09
-2.300000E+02,-2.845538E-09
-2.300000E+02,-2.845248E-09
-2.300000E+02,-2.851018E-09
-2.400000E+02,-3.126940E-09
-2.400000E+02,-3.066128E-09
-2.400000E+02,-3.036323E-09
-2.400000E+02,-3.057494E-09
-2.400000E+02,-3.000998E-09
-2.400000E+02,-3.103572E-09
-2.400000E+02,-2.947116E-09
-2.400000E+02,-2.984106E-09
-2.400000E+02,-3.073474E-09
-2.400000E+02,-2.898462E-09
-2.500000E+02,-3.180822E-09
-2.500000E+02,-3.123160E-09
-2.500000E+02,-3.160690E-09
-2.500000E+02,-3.093360E-09
-2.500000E+02,-3.078123E-09
-2.500000E+02,-3.164841E-09
-2.500000E+02,-3.082275E-09
-2.500000E+02,-3.164925E-09
-2.500000E+02,-3.071027E-09
-2.500000E+02,-3.083355E-09
-2.600000E+02,-3.229058E-09
-2.600000E+02,-3.195351E-09
-2.600000E+02,-3.164301E-09
-2.600000E+02,-3.251681E-09
-2.600000E+02,-3.204650E-09
-2.600000E+02,-3.209590E-09
-2.600000E+02,-3.146492E-09
-2.600000E+02,-3.237485E-09
-2.600000E+02,-3.286427E-09
-2.600000E+02,-3.245829E-09
-2.700000E+02,-3.360192E-09
-2.700000E+02,-3.313323E-09
-2.700000E+02,-3.303196E-09
-2.700000E+02,-3.345457E-09
-2.700000E+02,-3.162928E-09
-2.700000E+02,-3.255870E-09
-2.700000E+02,-3.392489E-09
-2.700000E+02,-3.340763E-09
-2.700000E+02,-3.264051E-09
-2.700000E+02,-3.338310E-09
-2.800000E+02,-3.238521E-09
-2.800000E+02,-3.245040E-09
-2.800000E+02,-3.370692E-09
-2.800000E+02,-3.262929E-09
-2.800000E+02,-3.234578E-09
-2.800000E+02,-3.427190E-09
-2.800000E+02,-3.405353E-09
-2.800000E+02,-3.324202E-09
-2.800000E+02,-3.226360E-09
-2.800000E+02,-3.364672E-09
-2.900000E+02,-3.439641E-09
-2.900000E+02,-3.373143E-09
-2.900000E+02,-3.351514E-09
-2.900000E+02,-3.308180E-09
-2.900000E+02,-3.301578E-09
-2.900000E+02,-3.456953E-09
-2.900000E+02,-3.264799E-09
-2.900000E+02,-3.342256E-09
-2.900000E+02,-3.450221E-09
-2.900000E+02,-3.523534E-09
-3.000000E+02,-3.371604E-09
-3.000000E+02,-3.418013E-09
-3.000000E+02,-3.505026E-09
-3.000000E+02,-3.584643E-09
-3.000000E+02,-3.353879E-09
-3.000000E+02,-3.374677E-09
-3.000000E+02,-3.573516E-09
-3.000000E+02,-3.525149E-09
-3.000000E+02,-3.401616E-09
-3.000000E+02,-3.466282E-09
-3.100000E+02,-3.424035E-09
-3.100000E+02,-3.583519E-09
-3.100000E+02,-3.555874E-09
-3.100000E+02,-3.427265E-09
-3.100000E+02,-3.456242E-09
-3.100000E+02,-3.504149E-09
-3.100000E+02,-3.588541E-09
-3.100000E+02,-3.629219E-09
-3.100000E+02,-3.438561E-09
-3.100000E+02,-3.532042E-09
-3.200000E+02,-3.573261E-09
-3.200000E+02,-3.629508E-09
-3.200000E+02,-3.718087E-09
-3.200000E+02,-3.699703E-09
-3.200000E+02,-3.736358E-09
-3.200000E+02,-3.506724E-09
-3.200000E+02,-3.493731E-09
-3.200000E+02,-3.636363E-09
-3.200000E+02,-3.474630E-09
-3.200000E+02,-3.505309E-09
-3.300000E+02,-3.760515E-09
-3.300000E+02,-3.632169E-09
-3.300000E+02,-3.589787E-09
-3.300000E+02,-3.561019E-09
-3.300000E+02,-3.613654E-09
-3.300000E+02,-3.537235E-09
-3.300000E+02,-3.624907E-09
-3.300000E+02,-3.570979E-09
-3.300000E+02,-3.604316E-09
-3.300000E+02,-3.492235E-09
-3.400000E+02,-3.820003E-09
-3.400000E+02,-3.790607E-09
-3.400000E+02,-3.600241E-09
-3.400000E+02,-3.665250E-09
-3.400000E+02,-3.770356E-09
-3.400000E+02,-3.780071E-09
-3.400000E+02,-3.835855E-09
-3.400000E+02,-3.612938E-09
-3.400000E+02,-3.727227E-09
-3.400000E+02,-3.662099E-09
-3.500000E+02,-3.616639E-09
-3.500000E+02,-3.865704E-09
-3.500000E+02,-3.793229E-09
-3.500000E+02,-3.737565E-09
-3.500000E+02,-3.851673E-09
-3.500000E+02,-3.708543E-09
-3.500000E+02,-3.859853E-09
-3.500000E+02,-3.825107E-09
-3.500000E+02,-3.758189E-09
-3.500000E+02,-3.734451E-09
-3.600000E+02,-3.845947E-09
-3.600000E+02,-3.869731E-09
-3.600000E+02,-3.885261E-09
-3.600000E+02,-3.702608E-09
-3.600000E+02,-3.748733E-09
-3.600000E+02,-3.876419E-09
-3.600000E+02,-3.911446E-09
-3.600000E+02,-3.941587E-09
-3.600000E+02,-3.838141E-09
-3.600000E+02,-3.923898E-09
-3.700000E+02,-3.949022E-09
-3.700000E+02,-4.032616E-09
-3.700000E+02,-3.972675E-09
-3.700000E+02,-3.991025E-09
-3.700000E+02,-3.845990E-09
-3.700000E+02,-3.913486E-09
-3.700000E+02,-3.827347E-09
-3.700000E+02,-3.819834E-09
-3.700000E+02,-3.763878E-09
-3.700000E+02,-3.777824E-09
-3.800000E+02,-3.852711E-09
-3.800000E+02,-3.943493E-09
-3.800000E+02,-3.786872E-09
-3.800000E+02,-3.985373E-09
-3.800000E+02,-4.092974E-09
-3.800000E+02,-3.884844E-09
-3.800000E+02,-4.037261E-09
-3.800000E+02,-3.872436E-09
-3.800000E+02,-3.898904E-09
-3.800000E+02,-3.834322E-09
-3.900000E+02,-3.847105E-09
-3.900000E+02,-4.009455E-09
-3.900000E+02,-4.068566E-09
-3.900000E+02,-4.137020E-09
-3.900000E+02,-3.920330E-09
-3.900000E+02,-4.115971E-09
-3.900000E+02,-4.098163E-09
-3.900000E+02,-3.865202E-09
-3.900000E+02,-3.902269E-09
-3.900000E+02,-3.964872E-09
-4.000000E+02,-4.108458E-09
-4.000000E+02,-3.921699E-09
-4.000000E+02,-4.121655E-09
-4.000000E+02,-4.112157E-09
-4.000000E+02,-3.857692E-09
-4.000000E+02,-3.973837E-09
-4.000000E+02,-4.075376E-09
-4.000000E+02,-4.087578E-09
-4.000000E+02,-4.142205E-09
-4.000000E+02,-4.108120E-09
-4.100000E+02,-4.069975E-09
-4.100000E+02,-4.118958E-09
-4.100000E+02,-4.176573E-09
-4.100000E+02,-4.283592E-09
-4.100000E+02,-4.252376E-09
-4.100000E+02,-4.101029E-09
-4.100000E+02,-3.980684E-09
-4.100000E+02,-4.205132E-09
-4.100000E+02,-4.198828E-09
-4.100000E+02,-4.142371E-09
-4.200000E+02,-4.233081E-09
-4.200000E+02,-4.176699E-09
-4.200000E+02,-4.228379E-09
-4.200000E+02,-4.196956E-09
-4.200000E+02,-4.176904E-09
-4.200000E+02,-4.116561E-09
-4.200000E+02,-4.031786E-09
-4.200000E+02,-4.096668E-09
-4.200000E+02,-4.072216E-09
-4.200000E+02,-4.046104E-09
-4.300000E+02,-4.105678E-09
-4.300000E+02,-4.272342E-09
-4.300000E+02,-4.061592E-09
-4.300000E+02,-4.132325E-09
-4.300000E+02,-4.260423E-09
-4.300000E+02,-4.269435E-09
-4.300000E+02,-4.220990E-09
-4.300000E+02,-4.187951E-09
-4.300000E+02,-4.186997E-09
-4.300000E+02,-4.292595E-09
-4.400000E+02,-4.206377E-09
-4.400000E+02,-4.424181E-09
-4.400000E+02,-4.305588E-09
-4.400000E+02,-4.164123E-09
-4.400000E+02,-4.370302E-09
-4.400000E+02,-4.283922E-09
-4.400000E+02,-4.146899E-09
-4.400000E+02,-4.242533E-09
-4.400000E+02,-4.295253E-09
-4.400000E+02,-4.252250E-09
-4.500000E+02,-4.286876E-09
-4.500000E+02,-4.119121E-09
-4.500000E+02,-4.240086E-09
-4.500000E+02,-4.464950E-09
-4.500000E+02,-4.378938E-09
-4.500000E+02,-4.555320E-09
-4.500000E+02,-4.307460E-09
-4.500000E+02,-4.472218E-09
-4.500000E+02,-4.414182E-09
-4.500000E+02,-4.200112E-09
-4.600000E+02,-4.437175E-09
-4.600000E+02,-4.335017E-09
-4.600000E+02,-4.371796E-09
-4.600000E+02,-4.499404E-09
-4.600000E+02,-4.394090E-09
-4.600000E+02,-4.364578E-09
-4.600000E+02,-4.335567E-09
-4.600000E+02,-4.356939E-09
-4.600000E+02,-4.264529E-09
-4.600000E+02,-4.402181E-09
-4.700000E+02,-4.400855E-09
-4.700000E+02,-4.232653E-09
-4.700000E+02,-4.302936E-09
-4.700000E+02,-4.527920E-09
-4.700000E+02,-4.466942E-09
-4.700000E+02,-4.549342E-09
-4.700000E+02,-4.288403E-09
-4.700000E+02,-4.290019E-09
-4.700000E+02,-4.586816E-09
-4.700000E+02,-4.438792E-09
-4.800000E+02,-4.528126E-09
-4.800000E+02,-4.473459E-09
-4.800000E+02,-4.457313E-09
-4.800000E+02,-4.489399E-09
-4.800000E+02,-4.309782E-09
-4.800000E+02,-4.370519E-09
-4.800000E+02,-4.477188E-09
-4.800000E+02,-4.699228E-09
-4.800000E+02,-4.313763E-09
-4.800000E+02,-4.303680E-09
-4.900000E+02,-4.577521E-09
-4.900000E+02,-4.578608E-09
-4.900000E+02,-4.388192E-09
-4.900000E+02,-4.605745E-09
-4.900000E+02,-4.512560E-09
-4.900000E+02,-4.506707E-09
-4.900000E+02,-4.533525E-09
-4.900000E+02,-4.390769E-09
-4.900000E+02,-4.490601E-09
-4.900000E+02,-4.481715E-09
-5.000000E+02,-4.557520E-09
-5.000000E+02,-4.535848E-09
-5.000000E+02,-4.535844E-09
-5.000000E+02,-4.629737E-09
-5.000000E+02,-4.456942E-09
-5.000000E+02,-4.505753E-09
-5.000000E+02,-4.482342E-09
-5.000000E+02,-4.547011E-09
-5.000000E+02,-4.573538E-09
-5.000000E+02,-4.403093E-09
