voltage[V],current[A]
-1.000000E+01,-7.276737E-09
-1.000000E+01,-7.837184E-09
-1.000000E+01,-8.032694E-09
-1.000000E+01,-8.090311E-09
-1.000000E+01,-7.788873E-09
-1.000000E+01,-7.656532E-09
-1.000000E+01,-8.130698E-09
-1.000000E+01,-7.653789E-09
-1.000000E+01,-6.623197E-09
-1.000000E+01,-7.281942E-09
-2.000000E+01,-9.951175E-09
-2.000000E+01,-9.950099E-09
-2.000000E+01,-9.952831E-09
-2.000000E+01,-9.951508E-09
-2.000000E+01,-9.951542E-09
-2.000000E+01,-9.950077E-09
-2.000000E+01,-9.950479E-09
-2.000000E+01,-9.950471E-09
-2.000000E+01,-9.951267E-09
-2.000000E+01,-9.949652E-09
-3.000000E+01,-9.949488E-09
-3.000000E+01,-9.952365E-09
-3.000000E+01,-9.950806E-09
-3.000000E+01,-9.950316E-09
-3.000000E+01,-9.951350E-09
-3.000000E+01,-9.950883E-09
-3.000000E+01,-9.951744E-09
-3.000000E+01,-9.952079E-09
-3.000000E+01,-9.951891E-09
-3.000000E+01,-9.952288E-09
-4.000000E+01,-9.951800E-09
-4.000000E+01,-9.952728E-09
-4.000000E+01,-9.953291E-09
-4.000000E+01,-9.950055E-09
-4.000000E+01,-9.950307E-09
-4.000000E+01,-9.952430E-09
-4.000000E+01,-9.951098E-09
-4.000000E+01,-9.951221E-09
-4.000000E+01,-9.951804E-09
-4.000000E+01,-9.951674E-09
-5.000000E+01,-9.950527E-09
-5.000000E+01,-9.950503E-09
-5.000000E+01,-9.949695E-09
-5.000000E+01,-9.951253E-09
-5.000000E+01,-9.950954E-09
-5.000000E+01,-9.951777E-09
-5.000000E+01,-9.951384E-09
-5.000000E+01,-9.950306E-09
-5.000000E+01,-9.950374E-09
-5.000000E+01,-9.952255E-09
-6.000000E+01,-9.952117E-09
-6.000000E+01,-9.950679E-09
-6.000000E+01,-9.948816E-09
-6.000000E+01,-9.951865E-09
-6.000000E+01,-9.950178E-09
-6.000000E+01,-9.950472E-09
-6.000000E+01,-9.951079E-09
-6.000000E+01,-9.950266E-09
-6.000000E+01,-9.950263E-09
-6.000000E+01,-9.952586E-09
-7.000000E+01,-9.950226E-09
-7.000000E+01,-9.950979E-09
-7.000000E+01,-9.949813E-09
-7.000000E+01,-9.951705E-09
-7.000000E+01,-9.951764E-09
-7.000000E+01,-9.950799E-09
-7.000000E+01,-9.952035E-09
-7.000000E+01,-9.952809E-09
-7.000000E+01,-9.953175E-09
-7.000000E+01,-9.950609E-09
-8.000000E+01,-9.951266E-09
-8.000000E+01,-9.950907E-09
-8.000000E+01,-9.952925E-09
-8.000000E+01,-9.953011E-09
-8.000000E+01,-9.951532E-09
-8.000000E+01,-9.951762E-09
-8.000000E+01,-9.950359E-09
-8.000000E+01,-9.952724E-09
-8.000000E+01,-9.951727E-09
-8.000000E+01,-9.953212E-09
-9.000000E+01,-9.951187E-09
-9.000000E+01,-9.952848E-09
-9.000000E+01,-9.951849E-09
-9.000000E+01,-9.951520E-09
-9.000000E+01,-9.950814E-09
-9.000000E+01,-9.952135E-09
-9.000000E+01,-9.952220E-09
-9.000000E+01,-9.952389E-09
-9.000000E+01,-9.950864E-09
-9.000000E+01,-9.952631E-09
-1.000000E+02,-9.953882E-09
-1.000000E+02,-9.953989E-09
-1.000000E+02,-9.952246E-09
-1.000000E+02,-9.952846E-09
-1.000000E+02,-9.952229E-09
-1.000000E+02,-9.953570E-09
-1.000000E+02,-9.954162E-09
-1.000000E+02,-9.951830E-09
-1.000000E+02,-9.952712E-09
-1.000000E+02,-9.952609E-09
-1.100000E+02,-9.951959E-09
-1.100000E+02,-9.952719E-09
-1.100000E+02,-9.953421E-09
-1.100000E+02,-9.953916E-09
-1.100000E+02,-9.951633E-09
-1.100000E+02,-9.950811E-09
-1.100000E+02,-9.952226E-09
-1.100000E+02,-9.953006E-09
-1.100000E+02,-9.952141E-09
-1.100000E+02,-9.950807E-09
-1.200000E+02,-9.952599E-09
-1.200000E+02,-9.952434E-09
-1.200000E+02,-9.952696E-09
-1.200000E+02,-9.952469E-09
-1.200000E+02,-9.953164E-09
-1.200000E+02,-9.953204E-09
-1.200000E+02,-9.951774E-09
-1.200000E+02,-9.953712E-09
-1.200000E+02,-9.952641E-09
-1.200000E+02,-9.953003E-09
