voltage[V],current[A]
+1.000000E+01,+4.783313E-10
+1.000000E+01,+4.579497E-10
+1.000000E+01,+4.505629E-10
+1.000000E+01,+4.341673E-10
+1.000000E+01,+4.635957E-10
+1.000000E+01,+4.973414E-10
+1.000000E+01,+5.323748E-10
+1.000000E+01,+5.515099E-10
+1.000000E+01,+5.768290E-10
+1.000000E+01,+5.886582E-10
+1.200000E+01,+5.953823E-10
+1.200000E+01,+6.395473E-10
+1.200000E+01,+5.727186E-10
+1.200000E+01,+5.798588E-10
+1.200000E+01,+5.331209E-10
+1.200000E+01,+6.038494E-10
+1.200000E+01,+6.356869E-10
+1.200000E+01,+5.326227E-10
+1.200000E+01,+6.236496E-10
+1.200000E+01,+6.092043E-10
+1.400000E+01,+5.734662E-10
+1.400000E+01,+5.087148E-10
+1.400000E+01,+6.807631E-10
+1.400000E+01,+5.768697E-10
+1.400000E+01,+5.951747E-10
+1.400000E+01,+5.598523E-10
+1.400000E+01,+6.480978E-10
+1.400000E+01,+6.732921E-10
+1.400000E+01,+4.951000E-10
+1.400000E+01,+6.298762E-10
+1.600000E+01,+6.039333E-10
+1.600000E+01,+5.226610E-10
+1.600000E+01,+5.979560E-10
+1.600000E+01,+5.950919E-10
+1.600000E+01,+6.533671E-10
+1.600000E+01,+7.245536E-10
+1.600000E+01,+6.382182E-10
+1.600000E+01,+7.013502E-10
+1.600000E+01,+7.018077E-10
+1.600000E+01,+5.511766E-10
+1.800000E+01,+5.877865E-10
+1.800000E+01,+5.737155E-10
+1.800000E+01,+6.522891E-10
+1.800000E+01,+7.620368E-10
+1.800000E+01,+7.394141E-10
+1.800000E+01,+6.353954E-10
+1.800000E+01,+5.882426E-10
+1.800000E+01,+6.737902E-10
+1.800000E+01,+6.596364E-10
+1.800000E+01,+6.469352E-10
+2.000000E+01,+7.986035E-10
+2.000000E+01,+7.776430E-10
+2.000000E+01,+7.912986E-10
+2.000000E+01,+8.145017E-10
+2.000000E+01,+8.139613E-10
+2.000000E+01,+8.247944E-10
+2.000000E+01,+8.167837E-10
+2.000000E+01,+7.835360E-10
+2.000000E+01,+7.581327E-10
+2.000000E+01,+6.852873E-10
