voltage[V],current[A]
+0.000000E+00,-2.007721E-09
+0.000000E+00,-2.710710E-09
+0.000000E+00,-2.401620E-09
+0.000000E+00,-2.605146E-09
+0.000000E+00,-2.554794E-09
+0.000000E+00,-2.005770E-09
+0.000000E+00,-2.361686E-09
+0.000000E+00,-3.099915E-09
+0.000000E+00,-2.591822E-09
+0.000000E+00,-2.070236E-09
+2.000000E+00,+4.592383E-10
+2.000000E+00,+2.489192E-10
+2.000000E+00,+2.703785E-10
+2.000000E+00,+2.553524E-10
+2.000000E+00,+4.271525E-10
+2.000000E+00,+3.699969E-10
+2.000000E+00,+4.527627E-10
+2.000000E+00,+4.098030E-10
+2.000000E+00,+4.068137E-10
+2.000000E+00,+3.871810E-10
+4.000000E+00,+4.633890E-10
+4.000000E+00,+4.370316E-10
+4.000000E+00,+3.181538E-10
+4.000000E+00,+3.427263E-10
+4.000000E+00,+2.887662E-10
+4.000000E+00,+4.385259E-10
+4.000000E+00,+4.042818E-10
+4.000000E+00,+2.735748E-10
+4.000000E+00,+3.229272E-10
+4.000000E+00,+3.493673E-10
+6.000000E+00,+3.986373E-10
+6.000000E+00,+5.368989E-10
+6.000000E+00,+4.653813E-10
+6.000000E+00,+3.045387E-10
+6.000000E+00,+4.884178E-10
+6.000000E+00,+4.663358E-10
+6.000000E+00,+3.688757E-10
+6.000000E+00,+3.679215E-10
+6.000000E+00,+4.133308E-10
+6.000000E+00,+4.474917E-10
+8.000000E+00,+4.590305E-10
+8.000000E+00,+4.553781E-10
+8.000000E+00,+5.514266E-10
+8.000000E+00,+4.652568E-10
+8.000000E+00,+4.946443E-10
+8.000000E+00,+5.438722E-10
+8.000000E+00,+3.986780E-10
+8.000000E+00,+3.602840E-10
+8.000000E+00,+5.546640E-10
+8.000000E+00,+4.042823E-10
+1.000000E+01,+5.461969E-10
+1.000000E+01,+5.601433E-10
+1.000000E+01,+3.960635E-10
+1.000000E+01,+4.992930E-10
+1.000000E+01,+6.002392E-10
+1.000000E+01,+5.531698E-10
+1.000000E+01,+4.301821E-10
+1.000000E+01,+3.971843E-10
+1.000000E+01,+5.122019E-10
+1.000000E+01,+5.989531E-10
+1.200000E+01,+5.256496E-10
+1.200000E+01,+6.431171E-10
+1.200000E+01,+5.240314E-10
+1.200000E+01,+6.374719E-10
+1.200000E+01,+6.178799E-10
+1.200000E+01,+5.391405E-10
+1.200000E+01,+5.984133E-10
+1.200000E+01,+6.524976E-10
+1.200000E+01,+5.500567E-10
+1.200000E+01,+4.301828E-10
+1.400000E+01,+6.511277E-10
+1.400000E+01,+5.113304E-10
+1.400000E+01,+4.897048E-10
+1.400000E+01,+4.774176E-10
+1.400000E+01,+4.906596E-10
+1.400000E+01,+4.800751E-10
+1.400000E+01,+5.302995E-10
+1.400000E+01,+5.736751E-10
+1.400000E+01,+5.922689E-10
+1.400000E+01,+5.970853E-10
+1.600000E+01,+6.964126E-10
+1.600000E+01,+6.295026E-10
+1.600000E+01,+6.257247E-10
+1.600000E+01,+7.177891E-10
+1.600000E+01,+7.197805E-10
+1.600000E+01,+6.941295E-10
+1.600000E+01,+6.668597E-10
+1.600000E+01,+7.080765E-10
+1.600000E+01,+7.253439E-10
+1.600000E+01,+6.835455E-10
+1.800000E+01,+7.554363E-10
+1.800000E+01,+7.669337E-10
+1.800000E+01,+7.253855E-10
+1.800000E+01,+7.588406E-10
+1.800000E+01,+7.778925E-10
+1.800000E+01,+6.618781E-10
+1.800000E+01,+6.053446E-10
+1.800000E+01,+7.163785E-10
+1.800000E+01,+6.593054E-10
+1.800000E+01,+6.994431E-10
+2.000000E+01,+8.152491E-10
+2.000000E+01,+8.222640E-10
+2.000000E+01,+7.031360E-10
+2.000000E+01,+6.306232E-10
+2.000000E+01,+7.334797E-10
+2.000000E+01,+8.182792E-10
+2.000000E+01,+7.427358E-10
+2.000000E+01,+6.885264E-10
+2.000000E+01,+7.347661E-10
+2.000000E+01,+7.991014E-10
