voltage[V],current[A]
+0.000000E+00,+1.332726E-09
+0.000000E+00,+1.281754E-09
+0.000000E+00,+7.791388E-10
+0.000000E+00,+1.137598E-09
+0.000000E+00,+9.536784E-10
+0.000000E+00,+9.591153E-10
+0.000000E+00,+1.431681E-09
+0.000000E+00,+1.199775E-09
+0.000000E+00,+9.199720E-10
+0.000000E+00,+1.461442E-09
-2.000000E+00,-1.870490E-10
-2.000000E+00,-5.803222E-11
-2.000000E+00,-2.497303E-10
-2.000000E+00,-3.485270E-10
-2.000000E+00,-7.538399E-11
-2.000000E+00,-5.882097E-11
-2.000000E+00,-7.463666E-11
-2.000000E+00,-2.828974E-10
-2.000000E+00,-2.728939E-10
-2.000000E+00,-7.949347E-11
-4.000000E+00,-2.402658E-10
-4.000000E+00,-4.030300E-10
-4.000000E+00,-1.848071E-10
-4.000000E+00,-4.156916E-10
-4.000000E+00,-1.518471E-10
-4.000000E+00,-4.039444E-10
-4.000000E+00,-2.218351E-10
-4.000000E+00,-3.720222E-10
-4.000000E+00,-3.863020E-10
-4.000000E+00,-3.554599E-10
-6.000000E+00,-4.295979E-10
-6.000000E+00,-3.917393E-10
-6.000000E+00,-5.085937E-10
-6.000000E+00,-5.480294E-10
-6.000000E+00,-5.175194E-10
-6.000000E+00,-4.636364E-10
-6.000000E+00,-3.030306E-10
-6.000000E+00,-3.229563E-10
-6.000000E+00,-3.575344E-10
-6.000000E+00,-4.082613E-10
-8.000000E+00,-5.915742E-10
-8.000000E+00,-6.450815E-10
-8.000000E+00,-5.471980E-10
-8.000000E+00,-3.985892E-10
-8.000000E+00,-6.044832E-10
-8.000000E+00,-5.510170E-10
-8.000000E+00,-4.282288E-10
-8.000000E+00,-5.142809E-10
-8.000000E+00,-6.075559E-10
-8.000000E+00,-4.410543E-10
-1.000000E+01,-6.268998E-10
-1.000000E+01,-6.374848E-10
-1.000000E+01,-5.541313E-10
-1.000000E+01,-5.757993E-10
-1.000000E+01,-5.733514E-10
-1.000000E+01,-5.567050E-10
-1.000000E+01,-6.488584E-10
-1.000000E+01,-5.205074E-10
-1.000000E+01,-6.285192E-10
-1.000000E+01,-5.275226E-10
