1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.942875
3072.000000	12.554219
6144.000000	26.033594
9216.000000	38.693359
12288.000000	50.500234
15360.000000	63.652422
18432.000000	75.748203
21504.000000	87.721094
24576.000000	98.974375
27648.000000	110.516719
30720.000000	121.958906
33792.000000	132.599766
36864.000000	142.605781
39936.000000	152.956172
43008.000000	162.071016
46080.000000	171.910781
49152.000000	180.496875
52224.000000	189.213672
55296.000000	197.836484
58368.000000	205.533437
61440.000000	213.044609
64512.000000	220.561172
67584.000000	227.529531
70656.000000	233.997031
73728.000000	240.280469
76800.000000	245.783984
79872.000000	251.131953
82944.000000	257.034844
86016.000000	261.994141
89088.000000	266.383359
92160.000000	271.178672
95232.000000	274.832266
