1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.877131
3072.000000	12.441562
6144.000000	25.436875
9216.000000	37.629141
12288.000000	50.191953
15360.000000	62.000937
18432.000000	73.897891
21504.000000	85.436719
24576.000000	96.604297
27648.000000	108.264297
30720.000000	118.495703
33792.000000	129.342422
36864.000000	139.612891
39936.000000	149.450937
43008.000000	158.690313
46080.000000	168.232344
49152.000000	176.786563
52224.000000	185.149922
55296.000000	193.345313
58368.000000	201.830781
61440.000000	208.860859
64512.000000	216.281406
67584.000000	223.554609
70656.000000	229.996094
73728.000000	236.217109
76800.000000	241.636328
79872.000000	247.559063
82944.000000	252.139609
86016.000000	257.438750
89088.000000	262.097969
92160.000000	266.832344
95232.000000	270.953672
