1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	3.592157
3072.000000	12.456563
6144.000000	25.414844
9216.000000	37.167656
12288.000000	49.722188
15360.000000	61.299687
18432.000000	73.254453
21504.000000	84.682500
24576.000000	95.949297
27648.000000	106.812500
30720.000000	118.008672
33792.000000	128.002891
36864.000000	138.146719
39936.000000	147.828828
43008.000000	157.368516
46080.000000	166.667266
49152.000000	174.934453
52224.000000	183.567969
55296.000000	191.624687
58368.000000	199.874687
61440.000000	206.902109
64512.000000	214.281406
67584.000000	221.427422
70656.000000	228.218203
73728.000000	234.191641
76800.000000	240.108828
79872.000000	245.441797
82944.000000	250.238672
86016.000000	255.696719
89088.000000	260.283438
92160.000000	264.808672
95232.000000	269.240781
