1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	2.520894
3072.000000	12.742813
6144.000000	24.060469
9216.000000	37.075000
12288.000000	48.932109
15360.000000	60.163281
18432.000000	72.209688
21504.000000	83.013906
24576.000000	94.789766
27648.000000	105.521328
30720.000000	115.226016
33792.000000	125.678984
36864.000000	136.196172
39936.000000	144.826484
43008.000000	154.095938
46080.000000	163.608281
49152.000000	172.482188
52224.000000	180.312812
55296.000000	187.797109
58368.000000	196.403437
61440.000000	203.166562
64512.000000	210.268984
67584.000000	217.017188
70656.000000	223.720234
73728.000000	229.973437
76800.000000	235.523203
79872.000000	240.520625
82944.000000	246.201406
86016.000000	251.063359
89088.000000	255.443516
92160.000000	259.996328
95232.000000	264.129766
