1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	2.222878
3072.000000	11.970234
6144.000000	24.802969
9216.000000	37.017734
12288.000000	48.392422
15360.000000	60.385625
18432.000000	71.595313
21504.000000	83.225469
24576.000000	93.868359
27648.000000	104.960703
30720.000000	115.067891
33792.000000	125.742578
36864.000000	135.290391
39936.000000	144.942578
43008.000000	154.388672
46080.000000	163.626250
49152.000000	172.094922
52224.000000	180.179219
55296.000000	188.323828
58368.000000	195.946953
61440.000000	203.269609
64512.000000	210.167656
67584.000000	217.135234
70656.000000	223.397344
73728.000000	229.717734
76800.000000	235.542109
79872.000000	240.608438
82944.000000	245.704062
86016.000000	251.182344
89088.000000	255.564453
92160.000000	259.815547
95232.000000	264.197266
