1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.899078
3072.000000	12.357812
6144.000000	25.166016
9216.000000	38.070781
12288.000000	49.332969
15360.000000	62.072969
18432.000000	73.361484
21504.000000	84.792656
24576.000000	96.057109
27648.000000	107.206719
30720.000000	117.822109
33792.000000	128.273672
36864.000000	138.797187
39936.000000	148.327891
43008.000000	157.528203
46080.000000	166.807891
49152.000000	175.633672
52224.000000	183.917109
55296.000000	192.097656
58368.000000	199.550547
61440.000000	206.893672
64512.000000	214.462031
67584.000000	221.033828
70656.000000	227.754688
73728.000000	234.071562
76800.000000	239.429844
79872.000000	244.964141
82944.000000	250.467031
86016.000000	255.215469
89088.000000	260.101328
92160.000000	264.415234
95232.000000	269.000391
