1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.889244
3072.000000	12.863359
6144.000000	24.855391
9216.000000	36.984141
12288.000000	49.301875
15360.000000	61.220703
18432.000000	72.959453
21504.000000	84.351562
24576.000000	95.609688
27648.000000	106.523359
30720.000000	117.234766
33792.000000	127.507500
36864.000000	137.427344
39936.000000	146.861875
43008.000000	156.660156
46080.000000	165.783672
49152.000000	174.470781
52224.000000	182.902500
55296.000000	191.039062
58368.000000	199.053828
61440.000000	206.259297
64512.000000	213.060937
67584.000000	220.626094
70656.000000	227.012891
73728.000000	233.231641
76800.000000	238.768359
79872.000000	244.066250
82944.000000	249.445781
86016.000000	254.685469
89088.000000	259.231250
92160.000000	263.700938
95232.000000	268.174922
