1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	2.028557
3072.000000	12.437734
6144.000000	24.768203
9216.000000	37.467656
12288.000000	49.694141
15360.000000	61.963516
18432.000000	73.771328
21504.000000	85.139844
24576.000000	96.450703
27648.000000	107.514219
30720.000000	118.338594
33792.000000	129.010078
36864.000000	139.176250
39936.000000	148.848906
43008.000000	158.312578
46080.000000	167.470000
49152.000000	176.309453
52224.000000	184.668906
55296.000000	192.721250
58368.000000	200.968047
61440.000000	208.102969
64512.000000	215.484688
67584.000000	222.680234
70656.000000	229.287266
73728.000000	235.439531
76800.000000	241.135625
79872.000000	246.224297
82944.000000	251.498047
86016.000000	256.661563
89088.000000	261.586563
92160.000000	265.647266
95232.000000	269.805234
