1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	1.982823
3072.000000	12.530391
6144.000000	25.349844
9216.000000	37.387656
12288.000000	49.375781
15360.000000	61.368047
18432.000000	73.213047
21504.000000	84.451406
24576.000000	95.485078
27648.000000	107.076328
30720.000000	117.437422
33792.000000	127.857656
36864.000000	138.075859
39936.000000	147.946563
43008.000000	156.905234
46080.000000	166.258437
49152.000000	174.859453
52224.000000	183.250547
55296.000000	191.195781
58368.000000	199.034531
61440.000000	206.314141
64512.000000	213.540000
67584.000000	221.101953
70656.000000	227.665234
73728.000000	233.290469
76800.000000	239.073516
79872.000000	244.442031
82944.000000	249.943281
86016.000000	254.585547
89088.000000	259.345234
92160.000000	263.525391
95232.000000	268.378047
