1D 32 -1536.000000 96768.000000	[nbin xmin xmax]
"X"	"Function_0"
0.000000	2.225183
3072.000000	13.884219
6144.000000	26.117656
9216.000000	38.743594
12288.000000	52.025781
15360.000000	63.950078
18432.000000	76.530391
21504.000000	88.525859
24576.000000	99.927500
27648.000000	111.783125
30720.000000	122.299609
33792.000000	133.225000
36864.000000	143.712187
39936.000000	153.861484
43008.000000	163.744609
46080.000000	173.205078
49152.000000	182.157266
52224.000000	190.836719
55296.000000	198.851563
58368.000000	206.976484
61440.000000	214.363438
64512.000000	222.003047
67584.000000	229.152578
70656.000000	235.897344
73728.000000	241.763516
76800.000000	247.923203
79872.000000	253.251484
82944.000000	258.604297
86016.000000	263.695156
89088.000000	268.394375
92160.000000	272.555234
95232.000000	277.004609
